cve,rank,reports_submitted_count,epss
CVE-2014-3583,2215,1,0.00876
CVE-2014-3597,2215,1,0.02798
CVE-2014-3613,2215,1,0.00571
CVE-2014-3613,2215,1,0.00571
CVE-2014-3628,2215,1,0.01977
CVE-2014-3628,2215,1,0.01977
CVE-2014-3669,1416,2,0.93735
CVE-2014-3670,2215,1,0.26919
CVE-2014-3670,2215,1,0.26919
CVE-2014-3704,1098,3,0.97494
CVE-2014-3707,1416,2,0.00297
CVE-2014-3926,2215,1,0.00327
CVE-2014-3926,2215,1,0.00327
CVE-2014-3927,2215,1,0.00788
CVE-2014-3928,2215,1,0.00675
CVE-2014-3930,2215,1,0.00433
CVE-2014-3931,2215,1,0.00796
CVE-2014-3931,2215,1,0.00796
CVE-2014-3945,2215,1,0.00264
CVE-2014-3981,2215,1,0.00047
CVE-2014-3981,2215,1,0.00047
CVE-2014-3981,2215,1,0.00047
CVE-2014-4014,2215,1,0.00062
CVE-2014-4014,2215,1,0.00062
CVE-2014-4037,2215,1,0.00223
CVE-2014-4049,2215,1,0.94808
CVE-2014-4061,2215,1,0.00472
CVE-2014-4078,749,6,0.00817
CVE-2014-4210,326,35,0.9683
CVE-2014-4211,2215,1,0.00503
CVE-2014-4211,2215,1,0.00503
CVE-2014-4217,2215,1,0.00434
CVE-2014-4241,427,17,0.01156
CVE-2014-4242,2215,1,0.00434
CVE-2014-4254,2215,1,0.01979
CVE-2014-4396,2215,1,0.00685
CVE-2014-4397,2215,1,0.00685
CVE-2014-4397,2215,1,0.00685
CVE-2014-4398,2215,1,0.00685
CVE-2014-4399,2215,1,0.00685
CVE-2014-4399,2215,1,0.00685
CVE-2014-4416,2215,1,0.00685
CVE-2014-4416,2215,1,0.00685
CVE-2014-4416,2215,1,0.00685
CVE-2014-4492,2215,1,0.02713
CVE-2014-4492,2215,1,0.02713
CVE-2014-4492,2215,1,0.02713
CVE-2014-4495,2215,1,0.02192
CVE-2014-4495,2215,1,0.02192
CVE-2014-4608,2215,1,0.01114
CVE-2014-4608,2215,1,0.01114
CVE-2014-4609,2215,1,0.19315
CVE-2014-4610,2215,1,0.06608
CVE-2014-4610,2215,1,0.06608
CVE-2014-4610,2215,1,0.06608
CVE-2014-4611,1416,2,0.00933
CVE-2014-4670,2215,1,0.00249
CVE-2014-4671,1098,3,0.01786
CVE-2014-4721,900,4,0.00749
CVE-2014-5120,1098,3,0.00544
CVE-2014-5121,2215,1,0.00192
CVE-2014-5121,2215,1,0.00192
CVE-2014-5144,2215,1,0.00177
CVE-2014-5144,2215,1,0.00177
CVE-2014-5240,1416,2,0.00085
CVE-2014-5240,1416,2,0.00085
CVE-2014-5326,2215,1,0.0014
CVE-2014-5326,2215,1,0.0014
CVE-2014-5345,1416,2,0.0023
CVE-2014-5345,1416,2,0.0023
CVE-2014-5346,1416,2,0.00142
CVE-2014-5347,1416,2,0.00448
CVE-2014-5445,2215,1,0.97463
CVE-2014-5459,900,4,0.00062
CVE-2014-5459,900,4,0.00062
CVE-2014-5461,2215,1,0.00305
CVE-2014-5461,2215,1,0.00305
CVE-2014-5461,2215,1,0.00305
CVE-2014-6071,415,18,0.00135
CVE-2014-6271,900,4,0.97568
CVE-2014-6271,900,4,0.97568
CVE-2014-6277,2215,1,0.97256
CVE-2014-6277,2215,1,0.97256
CVE-2014-6278,2215,1,0.97296
CVE-2014-6278,2215,1,0.97296
CVE-2014-6287,182,1,0.97331
CVE-2014-6308,2215,1,0.0922
CVE-2014-6308,2215,1,0.0922
CVE-2014-6321,1098,3,0.96909
CVE-2014-6593,1416,2,0.69755
CVE-2014-7152,2215,1,0.00155
CVE-2014-7169,2215,1,0.97251
CVE-2014-7186,2215,1,0.97467
CVE-2014-7224,1098,3,0.01668
CVE-2014-7818,900,4,0.00455
CVE-2014-7829,749,6,0.00525
CVE-2014-7829,749,6,0.00525
CVE-2014-8081,2215,1,0.03163
CVE-2014-8109,631,8,0.0022
CVE-2014-8142,1416,2,0.86107
CVE-2014-8150,1416,2,0.00543
CVE-2014-8151,1416,2,0.00146
CVE-2014-8176,1416,2,0.04007
CVE-2014-8176,1416,2,0.04007
CVE-2014-8176,1416,2,0.04007
CVE-2014-8489,2215,1,0.00346
CVE-2014-8821,2215,1,0.00042
CVE-2014-9016,810,5,0.03994
CVE-2014-9032,2215,1,0.0068
CVE-2014-9033,2215,1,0.00274
CVE-2014-9034,1098,3,0.26534
CVE-2014-9038,1098,3,0.00667
CVE-2014-9158,139,1,0.80304
CVE-2014-9158,139,1,0.80304
CVE-2014-9158,139,1,0.80304
CVE-2014-9162,2215,1,0.00526
CVE-2014-9162,2215,1,0.00526
CVE-2014-9301,1416,2,0.00726
CVE-2014-9301,1416,2,0.00726
CVE-2014-9342,2215,1,0.0022
CVE-2014-9444,2215,1,0.00619
CVE-2014-9463,2215,1,0.03104
CVE-2014-9463,2215,1,0.03104
